origin_time,region,magnitude,distance,depth,lat,lon,backazimuth,ratio_0.0600Hz,ratio_0.1100Hz,ratio_0.1600Hz,ratio_0.2100Hz,ratio_0.2600Hz,ratio_0.3100Hz,ratio_0.3600Hz,ratio_0.4100Hz,ratio_0.4600Hz,ratio_0.5100Hz,ratio_0.5600Hz,ratio_0.6100Hz,ratio_0.6600Hz,ratio_0.7100Hz,ratio_0.7600Hz,ratio_0.8100Hz,ratio_0.8600Hz,ratio_0.9100Hz,ratio_0.9600Hz,ratio_1.0100Hz,ratio_1.0600Hz,ratio_1.1100Hz,ratio_1.1600Hz,ratio_1.2100Hz,ratio_1.2600Hz,ratio_1.3100Hz,ratio_1.3600Hz,ratio_1.4100Hz,ratio_1.4600Hz,ratio_1.5100Hz,ratio_1.5600Hz,ratio_1.6100Hz,ratio_1.6600Hz,ratio_1.7100Hz,ratio_1.7600Hz,ratio_1.8100Hz,ratio_1.8600Hz,ratio_1.9100Hz
2020-02-13T10:33:44.930000Z,2,6.7,8835.393355959313,150.115,45.5278,148.8407,28.744011802310137,0.9160580739556776,0.9726604792003553,1.0188351853121205,0.9759956264067902,1.2172495701597217,1.602899441793782,2.10509231700508,1.9941820020774024,1.3723870201940451,1.667299274303219,1.6838024443847015,1.3223337234930057,1.2270444740585982,1.4048316407682817,1.867018507602468,2.0628232572910363,1.7854290922317189,1.2935647822595775,1.1261185047843232,1.261381759978223,1.2833219169469323,0.9143563513406688,0.9703189557919496,2.180829569557544,2.636003867938194,2.409831475205702,2.514538455309357,2.6213734926162253,3.0022951456172846,3.274381055462813,3.9100338806491473,3.178902511951805,1.5305641084987034,1.1919726455102213,1.4211227853083743,2.466579807404922,3.949821959490919,4.080374603570195
2020-03-14T10:01:16.900000Z,6,6.17,17653.30399711996,14.0,-27.6849,-175.7042,17.09886630393111,1.0042368010366414,0.92773882965581,1.0576719051593717,1.303425086815301,1.53506202045738,2.065320894675464,2.547738552025727,2.667056239231782,2.5965684492077443,2.6415060719456918,2.335241461122921,2.037933899718676,2.0700999397556914,2.2281373833327085,2.090250781209672,2.0141752047632253,2.2904386605361773,2.6819605715881814,3.5988681374611424,4.194086645048874,4.212076451657781,3.821821802289713,4.442953515354483,6.130301316477914,6.509766688636873,6.969148048635687,8.00242125999858,8.113478284095827,7.634522614109633,8.780433274098028,9.718852162429824,9.978594998018346,12.300037926211914,13.667176154802176,14.26193784933838,14.668458095809475,15.471032722089795,16.516213829211637
2020-03-25T02:49:19.890000Z,2,6.93,8782.219500994082,49.9003,48.8497,157.756,21.73525726304708,0.848231115938745,0.9028519785032588,0.9203943915965344,0.8719364050272568,1.0794651683115684,1.333018651133632,1.6796669711477867,2.042304528353281,1.7916625751393045,1.652680496806895,1.642280817250399,1.5577334282612016,1.4378985227765977,1.4200406160491412,1.5568671418993767,1.4491575516839243,1.396861710993314,1.5530304464479452,1.838349981346892,2.10198783440995,1.7500342397268582,0.8874045511896032,0.7720484433822511,1.659833292723791,1.8155599821905504,1.235525656895988,1.36785272247338,1.845499770292204,1.852439206741264,1.7465171472894554,2.305087074646946,2.105986387294173,1.432571143766482,1.425992034057353,1.622492404537324,2.290588623166488,2.494356437449637,1.8917590729255744
2020-04-18T08:25:37.640000Z,2,6.2,10242.424992091474,471.2495,27.0745,140.1483,43.85121852844077,1.0443823152890896,1.0454557731213874,1.1429163925108794,1.292124510378295,1.672958882720427,1.965303595564981,2.367004815065814,2.6917553792913997,2.630966358570474,2.908415166224505,2.795182527833394,2.5440167989848828,2.968968120247531,3.969512215881714,4.344703249452134,4.165303593132913,4.377833367884434,4.301028694605314,4.570245653530246,4.396528842978116,3.6092433897776255,4.725756947926761,6.367982880677777,7.232874736369972,7.465091499582513,6.647122753443427,5.749025935067945,5.218429262883389,4.489292907868033,4.652383760458199,5.795814617817841,6.119103181719624,4.903130683015077,4.86001950180704,5.7112986935219805,5.008284894230309,5.390693713570134,5.770247265420928
2020-05-02T12:51:05.870000Z,1,6.43,1964.8446856571811,13.4682,34.1862,25.768,136.8856533901574,1.0155395668581475,1.149678669697405,1.259002097076728,1.4890858261232192,1.5778275321831916,1.7264236349303703,2.304475191092215,2.513453959079905,2.1362323267895373,2.3151629150880058,3.6819230671429217,3.5934860661582904,2.623193535365348,2.574248060720832,2.63249963933517,2.889156222007328,2.4650600249962684,2.4030908365111605,4.031075987268742,4.143500164615109,2.464530511725185,1.9159325710612072,1.7479566396405648,1.709799345201265,2.603608643287917,2.547307837484478,2.753122048377081,4.566356046907905,3.255236748954918,1.4249341810069418,2.253222319706999,4.308388304985173,5.775788981458747,4.262574454848914,2.260209549423401,1.791237857275573,1.764736849575574,1.862296284947785
2020-06-03T07:35:35.630000Z,4,6.53,11163.277981769952,108.8957,-23.2056,-68.2938,247.00820186665783,1.0957206264873385,1.160024995472674,1.2293856382069197,1.4279785429625305,1.910636863700455,2.370424944799387,3.2475834444825398,3.502634357067633,2.984028058913649,3.3920214482056976,4.234680502912038,3.900456841309634,2.722494227068496,2.0574198973012443,2.4157091715827863,3.24485791596421,3.29878880741544,2.844212109579361,2.7248266028506625,2.9926047371426496,4.05103313820837,5.098572863269312,5.910309465516439,6.860861521918307,7.3966748021981985,7.456120700055294,6.632055558815141,7.215274780163488,9.037139642975816,9.385504869138703,8.881891406739683,9.073428390070362,9.472965822859706,11.043771212076727,12.774778600534852,13.407742860857962,13.716001894116893,14.312415954275057
2020-06-13T15:51:23.730000Z,2,6.05,9426.098238536695,165.2356,28.8606,128.2944,51.53718808601497,1.0054594547178448,1.0608983174197193,1.2680386285970018,1.501634472262544,1.927312042870176,2.361898133632509,2.822098799850375,3.306207928453948,3.05133863784908,3.158710470544099,4.122998447911261,4.606450946215593,4.291367857004374,4.044968784932659,2.968033497119665,2.4557961506237134,3.660454430524089,3.920358985552642,3.819402843382672,3.4084594333250866,2.800099643761915,3.105159004138743,3.1315042711817105,2.7017575883054525,3.778879858734941,4.7441147610683,5.030728700042147,4.461917181613947,4.415363695588417,6.800954526210453,6.872882785558562,5.646103405163886,5.70109006760358,6.246401843251635,6.88637922289603,8.157347914781962,8.705259865174135,8.27181289541337
2020-06-18T12:49:55.870000Z,6,6.86,18195.861566699936,19.7996,-33.3665,-177.8396,27.6892315785576,1.0182431913673171,1.023106280717837,1.0725281617987508,1.3118992482449408,1.8252479614707855,2.222217807315575,2.444236365310308,2.532241434593721,2.215079418152147,2.6985971129406865,2.7185855863126123,2.502341717715597,3.060384628527387,3.3771184226465585,2.6240101940748164,2.2133965688167816,2.597688598582903,3.1691279716749445,4.937138200394522,4.498029614425782,2.948037939299232,4.424096836359554,6.72193350696032,6.540094788825716,4.785725306088338,3.47400091169624,3.297128866499865,4.257408027833614,4.9103067110019,4.64462343829973,4.249284039080615,4.202056028033618,5.733915631179296,7.175167829573235,7.679597202981733,8.987982886284751,11.35302518471726,12.39237626829249
2020-06-23T15:29:02.870000Z,4,6.53,9942.982648291028,12.026,15.8234,-96.0304,293.37986380793944,0.9512334985250848,0.9874283255121712,1.1206804753315125,1.2588803128155406,1.2269167277335928,1.2541222493563442,1.2390621535366206,1.2177532877252126,1.3744396128014753,1.428585792433113,1.1764980393942648,1.0080646419613652,0.9209295358453004,0.8793538552574728,0.8503369757094428,0.8331513026228529,0.8230549670603609,0.836043399655201,0.8410793904642672,0.8289519765932799,0.8462423975515369,0.859191628497307,0.8555128471325811,0.8341448887449132,0.8242409560962597,0.8443016193413002,0.8427631648379432,0.8294641443470541,0.8395734454746633,0.8371849913164466,0.8328963356077942,0.8422427984341538,0.8637024326180881,0.8500771590668662,0.8133455134779886,0.8303428863876964,0.8681762803099309,0.8870752850098182
2020-07-17T02:50:22.760000Z,2,6.73,13969.6702305017,85.2231,-7.9502,147.7449,56.81755427881536,0.9909540226051696,1.046463815436958,1.1758564980228996,1.464112298834163,1.737882709388597,2.0244268942121635,2.3185458694485943,2.9739777762665143,2.8248054918900265,2.9946299827219933,3.4539464193295677,2.720866702538124,2.534791163052009,2.4794817096739936,2.0344084415500623,2.113551899518556,2.539184551590361,2.51138503614814,2.643291086703408,2.7773885154755305,2.7443323433948965,3.445543440496561,3.777555706100048,3.7468448896639375,4.127689617110212,4.273974971615102,3.8944935706407056,3.839133306082546,4.325875594579766,4.4773575833719095,4.485269434686911,4.725864729565883,4.754143914443913,4.596179362634509,4.622694036773485,4.131987435998204,3.851643045309718,4.222835430265153
